x,y,z,p
30.82,4.35,5.4,1.0
10.34,2.3,0.58,1.0
10.57,1.97,0.13,1.0
10.4,2.23,0.32,1.0
10.43,2.26,0.3,1.0
10.32,2.17,-0.03,1.0
10.23,2.5,0.26,1.0
10.07,2.35,0.07,1.0
10.18,2.37,0.04,1.0
41.83,12.71,1.46,1.0
42.37,12.85,1.41,1.0
41.95,12.78,1.41,1.0
41.82,12.63,1.14,1.0
41.79,12.86,1.46,1.0
41.76,12.86,1.47,1.0
42.62,12.71,0.69,1.0
42.59,13.2,1.32,1.0
41.87,13.39,1.86,1.0
42.08,13.29,1.5,1.0
44.61,12.18,-1.53,1.0
42.41,13.21,0.81,1.0
42.08,13.38,1.2,1.0
44.47,12.78,-1.05,1.0
42.03,13.54,1.16,1.0
44.47,10.37,-5.43,1.0
44.7,12.76,-1.61,1.0
42.12,13.44,0.8,1.0
42.65,13.43,0.31,1.0
42.48,13.39,0.3,1.0
44.21,10.51,-5.82,1.0
44.31,10.88,-5.23,1.0
42.72,13.6,0.24,1.0
44.37,13.09,-1.61,1.0
41.98,14.72,2.48,1.0
42.7,13.79,0.21,1.0
42.59,13.88,0.07,1.0
48.15,11.49,-7.72,1.0
41.39,15.12,2.48,1.0
41.34,14.99,2.21,1.0
47.78,12.0,-7.76,1.0
133.51,35.43,-18.26,1.0
41.25,14.96,2.16,1.0
58.84,17.46,-4.67,1.0
47.81,12.24,-7.91,1.0
46.26,14.89,-1.58,1.0
41.54,15.11,2.01,1.0
43.41,11.52,-6.75,1.0
80.66,13.83,-28.28,1.0
58.75,17.76,-5.03,1.0
189.62,59.12,-12.77,1.0
41.57,15.45,2.29,1.0
191.9,54.67,-23.74,1.0
62.72,10.82,-22.37,1.0
90.57,16.47,-30.9,1.0
80.13,14.02,-28.61,1.0
42.76,12.69,-4.43,1.0
52.97,8.8,-20.2,1.0
66.62,22.19,-2.06,1.0
0.7,0.19,-0.12,1.0
75.66,14.08,-26.73,1.0
151.46,61.66,17.99,1.0
75.92,14.16,-27.26,1.0
82.31,16.44,-27.17,1.0
5.47,1.12,-1.78,1.0
44.64,14.07,-3.86,1.0
49.0,14.68,-6.13,1.0
37.13,16.54,7.36,1.0
43.16,15.33,-0.3,1.0
130.34,40.18,-14.77,1.0
23.1,8.89,1.36,1.0
75.28,15.05,-27.25,1.0
43.74,15.53,-0.48,1.0
