xs,ys,zs,xe,ye,ze,h
-7.7016123,-82.439695,9.8288484,0.0,0.0,0.0,0.0
-7.87,-82.8,10.35,-7.5976679,-80.040297,10.003338,0.0
-7.68,-82.3,10.3,-6.9569332,-74.637045,9.3383186,0.0
-7.58,-83.09,10.16,-7.3254175,-80.370857,9.826168,0.0
-7.78,-82.87,9.97,-7.4963512,-79.96556,9.6180045,0.0
-7.73,-82.76,9.97,-7.3164016,-78.415278,9.4433493,0.0
-7.74,-82.99,9.98,-7.544132,-80.95851,9.7353903,0.0
-7.78,-83.18,9.92,-7.6988724,-82.410033,9.8252939,0.0
-7.77,-82.53,9.61,-7.1391161,-75.904084,8.8411307,0.0
-7.7,-83.51,9.79,-7.8346531,-85.030369,9.9647081,0.0
-7.6,-82.98,8.61,-7.2370826,-79.047125,8.1985763,0.0
-7.08,-83.54,8.81,-10.01147,-118.27393,12.467062,1.0
-7.02,-83.52,8.8,-7.1216001,-84.813496,8.9381236,0.0
-8.56,-83.41,8.11,-8.5576261,-83.461223,8.1114388,0.0
-8.45,-83.36,8.06,-8.4011935,-82.950681,8.0213492,0.0
-7.33,-84.45,8.93,-8.087497,-93.202537,9.8511138,0.0
