xs,ys,zs,xe,ye,ze,h
-1.5165249,-12.094903,-10.866571,0.0,0.0,0.0,0.0
-1.69,-10.74,-8.69,-2.4362909,-15.460803,-12.507544,1.0
-0.64,-10.28,-8.62,-0.94074897,-15.076474,-12.647604,1.0
-1.32,-10.41,-8.69,-1.7991376,-14.198519,-11.857004,1.0
-1.03,-10.21,-8.61,-1.6005635,-15.961282,-13.450331,1.0
-0.51,-10.21,-8.71,-0.75900843,-15.257169,-13.021327,1.0
-0.22,-10.06,-8.63,-0.35018662,-15.900131,-13.64252,1.0
-1.19,-10.24,-8.71,-1.1000628,-9.4629632,-8.0463091,0.0
-1.14,-10.32,-8.9,-1.6400018,-14.883766,-12.831835,1.0
-0.88,-10.61,-9.22,-1.1160049,-13.537497,-11.764847,0.0
-1.47,-10.34,-9.07,-2.0190523,-14.180111,-12.439524,1.0
-0.28,-10.01,-8.95,-0.25000873,-8.950523,-8.0041073,0.0
-1.22,-10.06,-8.94,-1.7483206,-14.433695,-12.831104,1.0
-1.18,-9.57,-8.52,-1.8446707,-14.926744,-13.292921,1.0
-1.25,-10.14,-9.03,-1.8097569,-14.753803,-13.140365,1.0
-1.07,-10.23,-9.16,-1.6223492,-15.488863,-13.857512,1.0
-0.59,-10.09,-9.09,-0.81089455,-13.837658,-12.471867,1.0
-1.29,-10.04,-8.98,-1.8541849,-14.444356,-12.92745,1.0
-1.23,-10.39,-9.34,-1.7934161,-15.213953,-13.678169,1.0
-1.29,-10.29,-9.25,-2.0181219,-16.095344,-14.460736,1.0
-1.37,-9.67,-8.68,-0.85459034,-6.01652,-5.4007465,0.0
-1.14,-10.15,-9.15,-1.6732254,-14.853333,-13.397427,1.0
-1.3,-9.93,-8.95,-1.8958123,-14.504228,-13.060433,1.0
-1.27,-10.28,-9.28,-1.8949351,-15.329858,-13.839457,1.0
-1.32,-9.64,-8.69,-2.1521384,-15.763158,-14.206054,1.0
-1.31,-10.01,-9.11,-2.0251777,-15.478904,-14.094347,1.0
-1.39,-10.33,-9.42,-1.9406355,-14.420956,-13.159431,1.0
-0.33,-9.65,-8.99,-0.24330071,-7.074579,-6.5878704,0.0
-1.82,-10.03,-9.21,-3.0290328,-16.677747,-15.300939,1.0
-0.92,-9.81,-9.16,-1.3799836,-14.706064,-13.730209,1.0
-1.22,-10.14,-9.46,-1.445113,-11.990329,-11.183705,0.0
-0.02,-9.92,-9.49,-0.034820939,-15.823411,-15.132046,1.0
-1.32,-9.87,-9.24,-1.9444147,-14.592656,-13.658777,1.0
-1.28,-10.04,-9.41,-1.9409483,-15.207743,-14.254579,1.0
-1.43,-9.79,-9.23,-1.3762713,-9.4568529,-8.9162049,0.0
-1.42,-9.49,-9.03,-2.1174057,-14.119796,-13.442083,1.0
-1.64,-9.7,-9.29,-2.4388502,-14.464096,-13.839553,1.0
-1.28,-10.12,-9.76,-1.6733479,-13.208212,-12.743938,0.0
-1.49,-9.63,-9.54,-2.1453465,-13.849971,-13.715591,1.0
-1.52,-9.43,-9.59,-2.2963093,-14.24579,-14.492335,1.0
