xs,ys,zs,xe,ye,ze,h
2.738945,51.84038,91.729129,0.0,0.0,0.0,0.0
2.54,53.27,92.37,2.5073916,52.676964,91.338772,0.0
2.28,53.02,92.24,2.2076468,51.455833,89.5335,0.0
2.38,52.77,92.22,2.3229636,51.471991,89.959473,0.0
2.39,52.46,91.85,2.1929869,48.220057,84.436512,0.0
2.95,52.77,92.44,2.8776353,51.427751,90.083953,0.0
2.48,52.66,92.58,2.4464561,52.080175,91.566954,0.0
2.77,52.46,92.82,2.7488212,52.027275,92.059845,0.0
4.61,52.37,91.85,4.2841741,48.685602,85.392916,0.0
2.56,51.41,92.86,2.4274395,48.723043,88.003165,0.0
3.94,51.68,93.43,3.9553839,51.94061,93.910277,0.0
3.89,51.69,93.5,3.9190038,52.119551,94.281673,0.0
2.53,52.05,93.06,2.4935062,51.422845,91.936447,0.0
2.55,52.03,92.08,2.3418346,47.791474,84.583942,0.0
1.51,53.52,92.79,1.5470022,54.909722,95.209955,0.0
3.47,51.87,92.52,3.2809147,49.05697,87.514534,0.0
