xs,ys,zs,xe,ye,ze,h
41.49155,-25.098403,4.7074253,0.0,0.0,0.0,0.0
40.64,-25.12,5.77,33.621297,-20.776195,4.7743279,0.0
41.5,-25.79,5.63,50.936704,-31.651224,6.9124046,1.0
41.81,-26.44,5.24,46.728514,-29.535844,5.8590096,0.0
41.43,-25.45,5.27,40.164567,-24.665774,5.110306,0.0
41.15,-25.28,5.17,37.366936,-22.945458,4.6934077,0.0
41.83,-25.74,5.05,44.092845,-27.122769,5.3233481,0.0
42.16,-25.9,5.07,47.481135,-29.154981,5.7139271,0.0
42.0,-25.62,5.05,44.079018,-26.879675,5.3040772,0.0
40.98,-25.03,4.92,35.038783,-21.396267,4.2066976,0.0
41.54,-25.44,4.95,57.321956,-35.087363,6.8353917,1.0
40.74,-25.06,4.84,33.485182,-20.590576,3.9762903,0.0
41.4,-25.43,4.91,39.794485,-24.442774,4.7237075,0.0
41.93,-25.71,4.97,44.275206,-27.147398,5.2502311,0.0
41.82,-25.68,4.9,43.559559,-26.746278,5.1066945,0.0
41.64,-24.46,5.03,37.745943,-22.166989,4.5550505,0.0
41.52,-24.68,4.9,37.496271,-22.279546,4.4268578,0.0
41.29,-24.53,4.87,35.056394,-20.816242,4.134454,0.0
41.54,-25.25,4.71,39.857112,-24.225201,4.5177251,0.0
41.1,-25.32,4.54,36.810132,-22.667367,4.0621435,0.0
41.5,-25.73,4.55,41.265754,-25.577303,4.5251172,0.0
42.44,-24.68,4.67,44.483944,-25.866645,4.8940277,0.0
42.16,-24.9,4.52,53.685826,-31.695733,5.757799,1.0
41.53,-25.44,4.06,40.026392,-24.515337,3.9110319,0.0
41.85,-24.43,4.29,38.651424,-22.563273,3.9586683,0.0
42.49,-24.88,4.09,45.093837,-26.393815,4.337888,0.0
