xs,ys,zs,xe,ye,ze,h
-4.2472523,74.382355,-7.7932204,0.0,0.0,0.0,0.0
-3.18,74.72,-7.95,-3.2971522,77.532587,-8.2503522,0.0
-4.46,74.5,-7.93,-5.9881433,100.07817,-10.65558,1.0
-4.4,73.46,-7.8,-3.9478818,65.922229,-6.9972878,0.0
-4.33,74.54,-7.85,-4.4320216,76.300541,-8.0316286,0.0
-4.55,74.8,-7.94,-4.7513978,78.146872,-8.3008107,0.0
-4.24,74.36,-7.79,-5.9174129,103.63197,-10.857778,1.0
-4.47,73.35,-7.67,-6.073887,99.598493,-10.418615,1.0
-5.73,74.05,-8.08,-5.6166221,72.613664,-7.920663,0.0
-4.51,74.51,-7.48,-4.5884732,75.830856,-7.6124675,0.0
-4.21,74.47,-7.32,-4.2482888,75.038593,-7.377804,0.0
-4.22,74.4,-7.23,-4.2133475,74.29157,-7.2158105,0.0
