xs,ys,zs,xe,ye,ze,h
-36.257388,-32.490297,32.308626,0.0,0.0,0.0,0.0
-36.11,-31.49,32.66,-34.34903,-29.954664,31.0723,0.0
-35.98,-31.7,32.8,-34.407887,-30.325019,31.376989,0.0
-35.92,-32.02,31.98,-33.599473,-29.958689,29.915797,0.0
-36.15,-32.39,32.21,-36.201539,-32.440254,32.25886,0.0
-35.94,-32.94,32.34,-37.51501,-34.387375,33.759108,0.0
-35.22,-32.59,32.04,-32.295346,-29.888386,29.379638,0.0
-36.42,-32.6,32.29,-38.312992,-34.299129,33.969711,0.0
-36.18,-32.37,31.6,-34.469132,-30.840674,30.110927,0.0
-36.24,-33.16,31.68,-37.479874,-34.298581,32.757731,0.0
