xs,ys,zs,xe,ye,ze,h
-3.7463626,16.350439,-0.72940177,0.0,0.0,0.0,0.0
-3.16,13.67,-1.73,-1.598803,6.9037487,-0.87274444,0.0
-2.5,14.47,-1.38,-2.8101509,16.266686,-1.5524155,1.0
-2.78,14.11,-1.46,-2.0037755,10.161312,-1.0491497,0.0
-3.57,13.83,-1.69,-2.3378875,9.0576244,-1.1091087,0.0
-2.65,13.67,-1.33,-1.0698384,5.5218287,-0.53605339,0.0
-2.3,14.38,-1.18,-3.0199466,18.863362,-1.552272,1.0
-2.02,14.48,-1.09,-1.7012288,12.18768,-0.91754018,0.0
-2.54,14.86,-1.12,-2.5422176,14.884828,-1.1212123,1.0
-2.98,14.41,-1.24,-3.2385524,15.638126,-1.3443528,1.0
-3.17,13.68,-1.19,-1.5341008,6.6203277,-0.57462673,0.0
-2.6,14.61,-1.0,-2.5895642,14.53835,-0.99584015,1.0
-2.6,14.59,-0.99,-2.585616,14.488257,-0.98361836,0.0
-3.14,14.91,-1.14,-3.8060281,18.094715,-1.3827277,1.0
-3.14,14.91,-1.14,-4.4038979,15.909498,-1.5509862,1.0
-2.24,13.7,-0.81,-2.489967,15.240906,-0.90545291,1.0
-3.37,14.77,-1.17,-3.6979752,16.19109,-1.2875942,1.0
-2.4,15.11,-0.85,-5.5243963,15.866498,-1.8299129,1.0
-3.52,14.87,-1.18,-4.3552244,18.385081,-1.4571584,0.0
-2.24,14.03,-0.77,-1.2572605,7.8787361,-0.43001551,0.0
-4.74,14.21,-1.54,-6.6951077,20.09144,-2.1756368,1.0
-2.1,14.53,-0.71,-2.3465986,16.239073,-0.79056333,1.0
-4.51,14.42,-1.45,-5.2455564,16.757057,-1.6896125,0.0
-2.15,14.78,-0.7,-2.3402772,16.087381,-0.76132985,1.0
-3.49,15.65,-1.12,-5.7306685,25.684464,-1.8363423,0.0
-3.7,15.37,-1.18,-4.3658944,18.146355,-1.3922663,1.0
-4.12,14.26,-1.3,-4.0728712,14.097254,-1.2853205,0.0
-3.33,14.28,-1.01,-3.8258939,16.412533,-1.1569999,1.0
-3.07,14.46,-0.92,-3.7514568,17.652409,-1.1195921,1.0
-2.68,14.87,-0.78,-3.1511843,17.491627,-0.9210749,1.0
-2.42,14.6,-0.7,-2.6079421,15.741884,-0.75489918,1.0
-3.74,14.18,-1.11,-4.0787088,15.467198,-1.2062746,1.0
-1.75,14.35,-0.48,-2.1707046,17.813604,-0.59841511,1.0
-2.99,13.95,-0.85,-3.8150815,17.770776,-1.0876903,1.0
-3.46,15.9,-0.98,-6.0348559,27.760084,-1.7116806,0.0
-4.4,14.23,-1.28,-4.5136526,14.602397,-1.3086444,0.0
-3.76,14.25,-1.07,-4.3380865,16.442731,-1.2373053,1.0
-2.4,15.29,-0.63,-2.6538839,16.908653,-0.69911565,1.0
-2.87,13.67,-0.79,-3.3247091,15.835387,-0.91479146,1.0
-4.12,14.03,-1.14,-4.4528125,15.144695,-1.2309014,1.0
-3.84,14.06,-1.04,-4.2418505,15.513169,-1.1498388,1.0
-2.57,15.07,-0.62,-2.7708509,16.25524,-0.67313751,1.0
-4.8,14.03,-1.32,-4.701819,13.751257,-1.2899326,0.0
-3.78,13.65,-1.0,-4.1577687,15.01738,-1.104141,1.0
-3.33,15.27,-0.84,-4.7257234,21.678583,-1.1978982,0.0
-3.51,14.22,-0.9,-3.9681616,16.066596,-1.0149945,1.0
-4.82,14.37,-1.3,-5.6642733,16.900824,-1.5265158,0.0
-3.02,14.22,-0.73,-3.4912814,16.425481,-0.8462673,1.0
-2.89,13.5,-0.7,-3.4635621,16.193185,-0.83457612,1.0
-3.73,13.76,-0.93,-3.9152259,14.44151,-0.97759433,1.0
-3.3,14.01,-0.79,-3.8554308,16.340068,-0.91621778,1.0
-3.77,13.56,-0.93,-1.8680978,6.7198345,-0.46274774,0.0
-2.24,15.54,-0.42,-2.3812784,16.480773,-0.44490595,1.0
-3.21,13.52,-0.73,-1.136147,4.7902482,-0.25998486,0.0
-2.97,14.06,-0.64,-3.4380886,16.266656,-0.73714005,1.0
-2.91,14.66,-0.6,-3.0943386,15.582869,-0.64254759,1.0
-3.26,15.33,-0.69,-3.6390733,17.125974,-0.77491291,1.0
-4.34,14.33,-1.02,-4.5961254,15.182824,-1.0821608,1.0
-4.01,13.74,-0.93,-4.4895285,15.373097,-1.0377237,1.0
-2.84,14.35,-0.56,-3.1440618,15.878983,-0.61510455,1.0
-4.31,14.08,-0.99,-4.940788,16.138372,-1.1346556,1.0
-3.27,15.66,-0.64,-3.2940387,15.747567,-0.64204147,1.0
-2.98,15.04,-0.56,-3.0328206,15.306234,-0.56749578,1.0
-3.5,15.31,-0.7,-3.9175499,17.156411,-0.78568702,1.0
-3.04,14.79,-0.57,-3.5656898,17.321882,-0.67133918,1.0
-3.87,15.09,-0.81,-4.5564271,17.770818,-0.94924215,1.0
-3.37,14.71,-0.66,-3.8490129,16.798441,-0.74938808,1.0
-2.96,14.28,-0.54,-3.5685447,17.221136,-0.65352872,1.0
-3.38,14.92,-0.64,-3.6096172,15.932508,-0.68114302,1.0
-4.06,14.04,-0.85,-4.603573,15.939317,-0.96977016,1.0
-3.35,14.67,-0.62,-3.7976513,16.607324,-0.69853182,1.0
-4.24,14.09,-0.9,-4.5743888,15.197119,-0.96753449,1.0
-2.22,14.51,-0.28,-2.3392102,15.288817,-0.29183592,1.0
-3.12,13.53,-0.57,-4.1695432,18.051406,-0.76037436,1.0
-3.49,14.36,-0.62,-3.6161262,14.872337,-0.64114744,1.0
-2.3,15.08,-0.23,-2.7496103,18.049641,-0.2787631,0.0
-3.06,15.74,-0.42,-4.9744191,25.551417,-0.67957848,0.0
-3.68,14.63,-0.63,-4.0456037,16.064407,-0.69276785,1.0
-3.9,14.53,-0.69,-4.024813,14.987062,-0.71170798,1.0
-3.71,14.79,-0.61,-3.9172395,15.6272,-0.64784838,1.0
-2.38,14.5,-0.18,-2.7250689,16.598044,-0.20982853,1.0
-3.25,15.02,-0.37,-3.4862063,16.126177,-0.39542679,1.0
-4.29,13.52,-0.72,-4.9036047,15.448549,-0.82566426,1.0
-3.68,14.63,-0.5,-3.8917825,15.453447,-0.52410455,1.0
-2.98,13.51,-0.33,-0.89540443,4.0510753,-0.09767368,0.0
-4.63,15.02,-0.74,-4.412806,14.298605,-0.7077814,1.0
-2.64,14.8,-0.13,-3.1269157,17.502647,-0.15869546,1.0
-5.31,15.23,-0.86,-8.9195978,25.581064,-1.4445882,0.0
-2.76,13.96,-0.17,-3.1734847,16.053925,-0.19209215,1.0
-3.27,13.74,-0.32,-3.5231078,14.824046,-0.34564287,1.0
-3.21,13.65,-0.3,-1.3903722,5.9174573,-0.13024905,0.0
-3.44,14.52,-0.33,-3.8272652,16.144468,-0.364345,1.0
-3.18,13.72,-0.29,-3.6763594,15.850383,-0.33181803,1.0
-3.65,14.44,-0.34,-3.9389482,15.584535,-0.36429667,1.0
-4.85,14.7,-0.64,-5.4078079,16.407295,-0.71402116,1.0
-2.82,13.79,-0.1,-1.3236366,6.4759498,-0.046473688,0.0
-4.44,15.41,-0.44,-4.7279796,16.416331,-0.47003856,1.0
-3.67,14.82,-0.24,-4.7527769,19.193021,-0.30788574,1.0
-2.67,14.12,0.15,-1.7638475,9.3241497,0.095785566,0.0
-4.21,15.05,-0.23,-4.5737192,16.341312,-0.2457943,1.0
-2.72,15.21,0.23,-2.8889608,16.168853,0.24720344,1.0
-3.73,14.93,-0.03,-3.8750707,15.497132,-0.029684463,1.0
-3.66,13.9,-0.08,-4.1211419,15.665708,-0.085889911,1.0
